Name,Runtime,avg_mutual_information,entropy,rule_number,loss
rule_number-48,14,1.059127523,1.180880233,48,0
rule_number-96,14,1.059127523,1.180880233,96,0
rule_number-20,14,1.059127523,1.180880233,20,0
rule_number-452,13,1.059127523,1.180880233,452,0
rule_number-420,15,1.059127523,1.180880233,420,0
rule_number-324,16,1.059127523,1.180880233,324,0
rule_number-100,16,1.059127523,1.180880233,100,0
rule_number-196,24,1.059127523,1.180880233,196,0
rule_number-276,14,1.059127523,1.180880233,276,0
rule_number-144,14,1.059127523,1.180880233,144,0
rule_number-260,16,1.059127523,1.180880233,260,0
rule_number-148,14,1.059127523,1.180880233,148,0
rule_number-448,14,1.059127523,1.180880233,448,0
rule_number-408,14,1.059127523,1.180880233,408,0
rule_number-296,17,1.059127523,1.180880233,296,0
rule_number-84,14,1.059127523,1.180880233,84,0
rule_number-268,14,1.059127523,1.180880233,268,0
rule_number-152,14,1.059127523,1.180880233,152,0
rule_number-264,14,1.059127523,1.180880233,264,0
rule_number-72,14,1.059127523,1.180880233,72,0
rule_number-176,14,1.059127523,1.180880233,176,0
rule_number-336,16,1.059127523,1.180880233,336,0
rule_number-4,16,1.059127523,1.180880233,4,0
rule_number-52,13,1.059127523,1.180880233,52,0
rule_number-112,14,1.059127523,1.180880233,112,0
rule_number-288,15,1.059127523,1.180880233,288,0
rule_number-416,14,1.059127523,1.180880233,416,0
rule_number-352,14,1.059127523,1.180880233,352,0
rule_number-200,14,1.059127523,1.180880233,200,0
rule_number-128,14,1.059127523,1.180880233,128,0
rule_number-396,14,1.059127523,1.180880233,396,0
rule_number-160,14,1.059127523,1.180880233,160,0
rule_number-332,14,1.059127523,1.180880233,332,0
rule_number-280,14,1.059127523,1.180880233,280,0
rule_number-292,14,1.059127523,1.180880233,292,0
rule_number-404,14,1.059127523,1.180880233,404,0
rule_number-40,15,1.059127523,1.180880233,40,0
rule_number-36,16,1.059127523,1.180880233,36,0
rule_number-136,14,1.059127523,1.180880233,136,0
rule_number-24,16,1.059127523,1.180880233,24,0
rule_number-272,14,1.059127523,1.180880233,272,0
rule_number-64,15,1.059127523,1.180880233,64,0
rule_number-328,14,1.059127523,1.180880233,328,0
rule_number-12,14,1.059127523,1.180880233,12,0
rule_number-76,13,1.059127523,1.180880233,76,0
rule_number-80,13,1.059127523,1.180880233,80,0
rule_number-388,16,1.059127523,1.180880233,388,0
rule_number-204,16,1.059127523,1.180880233,204,0
rule_number-224,14,1.059127523,1.180880233,224,0
rule_number-208,16,1.059127523,1.180880233,208,0
rule_number-192,14,1.059127523,1.180880233,192,0
rule_number-44,14,1.059127523,1.180880233,44,0
rule_number-168,14,1.059127523,1.180880233,168,0
rule_number-392,14,1.059127523,1.180880233,392,0
rule_number-424,20,1.059127523,1.180880233,424,0
rule_number-480,30,1.059127523,1.180880233,480,0
rule_number-132,14,1.059127523,1.180880233,132,0
rule_number-456,14,1.059127523,1.180880233,456,0
rule_number-320,14,1.059127523,1.180880233,320,0
rule_number-68,14,1.059127523,1.180880233,68,0
rule_number-340,13,1.059127523,1.180880233,340,0
