Name,Runtime,avg_mutual_information,entropy,rule_number,loss
rule_number-256,13,1.059538633,1.244328284,256,0.000611338
rule_number-128,13,1.059625973,1.247721679,128,0.003270402
rule_number-384,16,1.059627242,1.24897077,384,0.003538183
rule_number-320,14,1.0596299,1.255596541,320,0.006083883
rule_number-64,16,1.059639249,1.256440903,64,0.005046932
rule_number-32,18,1.059658234,1.267537176,32,0.007061523
rule_number-448,13,1.059821934,1.26789728,448,3.29656E-06
rule_number-288,16,1.059690885,1.274902545,288,0.011548114
rule_number-192,13,1.059743128,1.275136803,192,9.24463E-06
rule_number-272,16,1.059686462,1.276541498,272,0.009711241
rule_number-16,16,1.059757891,1.280536785,16,4.70725E-06
rule_number-160,14,1.059800105,1.28375202,160,0.018058334
rule_number-416,13,1.059865598,1.291129161,416,0.001689649
rule_number-8,18,1.059722184,1.293717013,8,3.63947E-06
rule_number-144,15,1.059785177,1.295712574,144,0.000531784
rule_number-264,16,1.060004126,1.306832407,264,0.000527541
rule_number-96,17,1.059963771,1.308357139,96,3.07131E-05
rule_number-400,15,1.059892407,1.308889685,400,0.000414916
rule_number-352,16,1.060163492,1.3277906,352,0.00255392
rule_number-136,18,1.060206872,1.334065367,136,0.002551349
rule_number-392,16,1.05992769,1.339264892,392,0.000947718
rule_number-80,16,1.059726956,1.342053707,80,0.00187244
rule_number-336,18,1.060895634,1.352232938,336,0.018917803
rule_number-224,15,1.060777173,1.375703296,224,0.007331224
rule_number-48,18,1.060099681,1.376916708,48,1.13863E-05
rule_number-328,21,1.060310508,1.386871062,328,0.001770764
rule_number-72,18,1.061213117,1.406046446,72,0.001638198
rule_number-208,21,1.060922194,1.41602594,208,0.06363786
rule_number-200,22,1.060383996,1.447942184,200,0.000447334
rule_number-456,19,1.060840675,1.454637153,456,5.02699E-05
rule_number-464,19,1.062512672,1.460551765,464,0.058740079
rule_number-304,20,1.060995383,1.462684032,304,0.00243598
rule_number-480,23,1.065559527,1.512353785,480,0.000197871
rule_number-2,42,1.059517165,1.521005234,2,0.121195614
rule_number-112,26,1.061076466,1.549665592,112,0.049071677
rule_number-258,20,1.05952493,1.551496675,258,0.150598541
rule_number-4,17,1.059635716,1.568898094,4,0.158051401
rule_number-386,18,1.059511589,1.570183549,386,0.171402365
rule_number-130,17,1.059608762,1.570787193,130,0.165352732
rule_number-260,20,1.05956482,1.575653577,260,0.002811015
rule_number-66,20,1.059568645,1.583494985,66,0.017989011
rule_number-322,22,1.059653226,1.583795157,322,0.247456595
rule_number-194,21,1.059600136,1.585005563,194,0.179283023
rule_number-132,20,1.059638042,1.587438276,132,0.176688045
rule_number-388,18,1.059656797,1.589339638,388,0.176788092
rule_number-450,20,1.059624044,1.589833408,450,0.000109668
rule_number-176,17,1.061777322,1.596876546,176,0.000788546
rule_number-290,22,1.0598119,1.597496519,290,0.19349356
rule_number-40,20,1.061285619,1.598059446,40,0.234087005
rule_number-34,20,1.059588611,1.599219675,34,0.002452801
rule_number-162,22,1.059705988,1.603149913,162,0.012064433
rule_number-418,22,1.059624604,1.605829101,418,0.164571792
rule_number-68,20,1.059694834,1.607445521,68,0.18881619
rule_number-324,20,1.05966861,1.608201872,324,0.13971664
rule_number-196,20,1.059682595,1.611779434,196,0.00156459
rule_number-6,19,1.05938448,1.613245703,6,1.0655E-05
rule_number-98,21,1.059808818,1.614159904,98,0.014266049
rule_number-452,20,1.059694312,1.616022824,452,0.000866943
rule_number-354,17,1.059780633,1.621888028,354,0.231724665
rule_number-296,22,1.060946737,1.62209483,296,0.278697968
rule_number-137,20,1.059654918,1.622273432,137,0.167073458
rule_number-393,17,1.059740615,1.623364832,393,0.301369935
rule_number-18,20,1.05967052,1.628525722,18,0.242509708
rule_number-274,18,1.059693763,1.629342243,274,0.25879845
rule_number-262,20,1.059445812,1.631924234,262,0.001013362
rule_number-146,18,1.059599241,1.63266415,146,0.262936532
rule_number-10,20,1.059575399,1.632950313,10,0.350245774
rule_number-402,25,1.059715516,1.634217174,402,0.259789616
rule_number-36,20,1.059826671,1.635184817,36,0.311409622
rule_number-292,22,1.05980049,1.635717095,292,0.015479293
rule_number-73,20,1.059854458,1.635764611,73,0.530851007
rule_number-329,20,1.059659226,1.636670661,329,0.335786194
rule_number-266,22,1.059604762,1.637852157,266,0.35733375
rule_number-12,20,1.059408334,1.641409149,12,1.23614E-05
rule_number-164,23,1.059742852,1.641780908,164,0.104318596
rule_number-420,22,1.05961682,1.641840658,420,0.276620686
rule_number-24,20,1.060012842,1.642322562,24,0.290610224
rule_number-226,24,1.060084875,1.643755866,226,0.107579194
rule_number-138,20,1.059764228,1.644577425,138,0.228104144
rule_number-390,18,1.059615229,1.64487391,390,0.000251033
rule_number-201,20,1.059741763,1.644941276,201,0.060557149
rule_number-293,20,1.059646647,1.645767868,293,0.424267113
rule_number-394,22,1.059636226,1.64668408,394,0.22322619
rule_number-134,19,1.059682666,1.647834098,134,0.219677851
rule_number-457,22,1.059931875,1.649568352,457,0.272740215
rule_number-165,20,1.059705781,1.650110793,165,0.541077375
rule_number-14,19,1.059420443,1.651485412,14,0.259886146
rule_number-421,20,1.059708553,1.651887318,421,0.009424748
rule_number-20,20,1.059608273,1.652094632,20,0.094958529
rule_number-268,20,1.059465696,1.652890272,268,0.028691484
rule_number-82,18,1.059794119,1.65326603,82,0.394400895
rule_number-482,21,1.060813687,1.654153374,482,0.307888865
rule_number-326,22,1.059637929,1.65439903,326,0.136844575
rule_number-276,20,1.059561261,1.655815042,276,0.693147242
rule_number-198,22,1.05966754,1.656316332,198,0.236485317
rule_number-74,20,1.059630234,1.657079555,74,0.261258155
rule_number-330,20,1.059603827,1.65802376,330,0.693147242
rule_number-338,18,1.059839858,1.658057755,338,0.693147242
rule_number-22,20,1.059614119,1.659890672,22,0.693147242
rule_number-100,18,1.059686376,1.660933969,100,0.553579152
rule_number-294,24,1.059620649,1.661279983,294,0.225939751
rule_number-140,19,1.059720521,1.661570959,140,0.693147242
rule_number-454,18,1.059813781,1.662216118,454,0.693147242
rule_number-396,18,1.059650309,1.662712625,396,0.693147242
rule_number-202,18,1.059764177,1.663036369,202,0.693147242
rule_number-41,17,1.059775694,1.66341869,41,0.693147242
rule_number-280,18,1.059558535,1.663423993,280,0.693147242
rule_number-26,18,1.059614516,1.663973443,26,0.693147242
rule_number-148,24,1.059719612,1.664037356,148,0.693147242
rule_number-166,18,1.059718957,1.664594371,166,0.693147242
rule_number-432,17,1.061274087,1.664775661,432,0.693147242
rule_number-168,21,1.060284752,1.665110953,168,0.693147242
