Name,Runtime,avg_mutual_information,entropy,rule_number,loss
rule_number-256,14,1.059559333,1.242633573,256,0.693147242
rule_number-384,13,1.059602385,1.247250912,384,0.693147242
rule_number-128,13,1.059627207,1.248660392,128,0.693147242
rule_number-320,22,1.059654064,1.256817419,320,0.693147242
rule_number-64,14,1.059645438,1.259572613,64,0.693147242
rule_number-192,14,1.059834735,1.266217942,192,0.693147242
rule_number-32,13,1.059691316,1.267266547,32,0.693147242
rule_number-448,14,1.059812178,1.27265384,448,0.693147242
rule_number-288,13,1.059705885,1.274063067,288,0.693147242
rule_number-272,16,1.059649818,1.28085731,272,0.693147242
rule_number-160,14,1.059772595,1.282905928,160,0.693147242
rule_number-16,13,1.059834397,1.289390377,16,0.693147242
rule_number-416,14,1.059836209,1.291278022,416,0.693147242
rule_number-8,14,1.059677339,1.294098022,8,0.693147242
rule_number-144,16,1.05973761,1.302160185,144,0.693147242
rule_number-400,14,1.059834445,1.302616583,400,0.693147242
rule_number-264,13,1.059794631,1.303076995,264,0.693147242
rule_number-96,13,1.060052788,1.307958028,96,0.693147242
rule_number-392,18,1.060634965,1.325346395,392,0.693147242
rule_number-136,18,1.059992894,1.327111021,136,0.693147242
rule_number-352,16,1.060124355,1.3287415,352,0.693147242
rule_number-336,15,1.060174615,1.346602164,336,0.693147242
rule_number-80,16,1.059987873,1.347345665,80,0.693147242
rule_number-224,16,1.060270017,1.357916657,224,0.693147242
rule_number-48,16,1.060017314,1.384734922,48,0.693147242
rule_number-72,16,1.060129122,1.40277488,72,0.693147242
rule_number-208,15,1.060594467,1.403394798,208,0.693147242
rule_number-328,16,1.060319642,1.407125637,328,0.693147242
rule_number-200,16,1.060109682,1.424250021,200,0.693147242
rule_number-304,15,1.061197058,1.437000996,304,0.693147242
rule_number-456,18,1.06090909,1.464221307,456,0.693147242
rule_number-480,20,1.064888391,1.50584408,480,0.693147242
rule_number-2,17,1.059622238,1.517107768,2,0.693147242
rule_number-112,16,1.062533282,1.520676192,112,0.693147242
rule_number-464,16,1.062911714,1.524632483,464,0.693147242
rule_number-258,34,1.059670933,1.549814139,258,0.693147242
rule_number-4,19,1.059687882,1.563744885,4,0.693147242
rule_number-386,18,1.059560997,1.568046471,386,0.693147242
rule_number-130,16,1.059575947,1.568523027,130,0.693147242
rule_number-260,16,1.059569697,1.575972396,260,0.693147242
rule_number-66,16,1.059633905,1.584582002,66,0.693147242
rule_number-322,18,1.059727203,1.584668367,322,0.693147242
rule_number-194,16,1.059592722,1.585375778,194,0.693147242
rule_number-132,15,1.059744488,1.588951872,132,0.693147242
rule_number-388,15,1.05979607,1.590064138,388,0.693147242
rule_number-450,18,1.05969546,1.59137285,450,0.693147242
rule_number-290,17,1.05962052,1.597445675,290,0.693147242
rule_number-34,16,1.05966975,1.597966135,34,0.693147242
rule_number-40,16,1.061562502,1.598487239,40,0.693147242
rule_number-162,17,1.059779389,1.601296756,162,0.693147242
rule_number-418,14,1.059650062,1.603845651,418,0.693147242
rule_number-324,16,1.059600613,1.607610928,324,0.693147242
rule_number-68,18,1.059762123,1.607859643,68,0.693147242
rule_number-6,18,1.059391459,1.610569233,6,0.693147242
rule_number-196,16,1.059756087,1.612441039,196,0.693147242
rule_number-452,18,1.05963741,1.614291348,452,0.693147242
rule_number-176,18,1.061264925,1.614500133,176,0.693147242
rule_number-98,18,1.059745291,1.615495382,98,0.693147242
rule_number-137,15,1.059664752,1.622099826,137,0.693147242
rule_number-393,18,1.059787309,1.623854386,393,0.693147242
rule_number-354,17,1.059715817,1.624604772,354,0.693147242
rule_number-18,16,1.059656039,1.629692723,18,0.693147242
rule_number-274,19,1.059710987,1.630564827,274,0.693147242
rule_number-10,18,1.059473706,1.632166218,10,0.693147242
rule_number-262,16,1.059514201,1.632581304,262,0.693147242
rule_number-146,15,1.05963915,1.633038451,146,0.693147242
rule_number-402,15,1.059731543,1.633597913,402,0.693147242
rule_number-36,18,1.059622877,1.634304888,36,0.693147242
rule_number-292,18,1.059681999,1.634940009,292,0.693147242
rule_number-73,15,1.059724134,1.635830715,73,0.693147242
rule_number-266,18,1.059640856,1.637137288,266,0.693147242
rule_number-329,18,1.059831138,1.63754226,329,0.693147242
rule_number-164,16,1.059793497,1.639288603,164,0.693147242
rule_number-12,16,1.059469065,1.64064179,12,0.693147242
rule_number-226,16,1.059927197,1.641501493,226,0.693147242
rule_number-420,24,1.059802607,1.641726303,420,0.693147242
rule_number-296,16,1.06072242,1.642608787,296,0.693147242
rule_number-201,15,1.059640739,1.643073638,201,0.693147242
rule_number-138,18,1.059664699,1.644645234,138,0.693147242
rule_number-390,16,1.059633452,1.644739607,390,0.693147242
rule_number-293,18,1.059706658,1.645797973,293,0.693147242
rule_number-394,20,1.059567399,1.646045744,394,0.693147242
rule_number-134,18,1.059463698,1.647112978,134,0.693147242
rule_number-24,18,1.059586661,1.647513074,24,0.693147242
rule_number-457,17,1.059908563,1.648063776,457,0.693147242
rule_number-165,16,1.059713585,1.65017803,165,0.693147242
rule_number-20,18,1.059640174,1.652042871,20,0.693147242
rule_number-14,20,1.059337014,1.652526437,14,0.693147242
rule_number-421,18,1.059774072,1.652661335,421,0.693147242
rule_number-268,15,1.059462274,1.652724186,268,0.693147242
rule_number-326,18,1.059790135,1.653793907,326,0.693147242
