Name,Runtime,avg_mutual_information,entropy,rule_number,loss
rule_number-257,15,1.063471826,1.569598423,257,0.531077683
rule_number-479,19,1.059745637,1.591389182,479,0.201800779
rule_number-17,18,1.059658215,1.592653815,17,0.590040445
rule_number-495,20,1.059898183,1.593927526,495,0.256665736
rule_number-273,18,1.059816982,1.594379904,273,0.593319416
rule_number-477,17,1.059691313,1.594446905,477,0.188024506
rule_number-33,17,1.059654436,1.594838253,33,0.556464911
rule_number-478,17,1.059810037,1.595732169,478,0.23111853
rule_number-65,19,1.060561926,1.595973769,65,0.540376782
rule_number-476,19,1.059772508,1.598742588,476,0.238663539
rule_number-475,18,1.059729002,1.601066649,475,0.277827233
rule_number-145,22,1.059765957,1.601841225,145,0.607211292
rule_number-289,20,1.059938459,1.602860625,289,0.557118952
rule_number-492,26,1.060002955,1.603991353,492,0.250208497
rule_number-473,22,1.059843007,1.604301475,473,0.410709739
rule_number-493,21,1.059779608,1.60464457,493,0.425763786
rule_number-401,18,1.059771239,1.60497782,401,0.611760676
rule_number-161,24,1.059924316,1.605615738,161,0.569460332
rule_number-129,17,1.060193403,1.605796262,129,0.525498629
rule_number-494,22,1.059850449,1.606179102,494,0.365157843
rule_number-474,17,1.059792117,1.606431534,474,0.197482124
rule_number-491,17,1.059862744,1.606932588,491,0.258821845
rule_number-489,20,1.059950714,1.608618958,489,0.263970494
rule_number-472,20,1.059815522,1.609559714,472,0.259953499
rule_number-417,18,1.060020135,1.609808077,417,0.576872706
rule_number-490,17,1.059891792,1.611958971,490,0.329807162
rule_number-500,21,1.060247275,1.612951519,500,0.30141589
rule_number-487,23,1.060106072,1.614014592,487,0.239316896
rule_number-321,18,1.060258874,1.614968765,321,0.534673929
rule_number-97,17,1.059906693,1.615340772,97,0.582988441
rule_number-488,20,1.059939368,1.616215836,488,0.448693901
rule_number-265,17,1.059676141,1.618228885,265,0.615950167
rule_number-445,18,1.059581828,1.618359828,445,0.233553767
rule_number-81,18,1.060078191,1.618805247,81,0.625178933
rule_number-499,17,1.060140792,1.61891983,499,0.265034825
rule_number-498,18,1.060223786,1.619902394,498,0.290121317
rule_number-497,29,1.060301235,1.619949975,497,0.44574663
rule_number-193,20,1.060042112,1.620034063,193,0.547529638
rule_number-444,20,1.059702654,1.620045164,444,0.235825688
rule_number-446,19,1.059542479,1.620046424,446,0.232485011
rule_number-449,21,1.059910597,1.620636752,449,0.561102629
rule_number-471,18,1.060020162,1.620982942,471,0.380658627
rule_number-485,16,1.059865528,1.621123685,485,0.421032786
rule_number-447,17,1.059775472,1.622080003,447,0.225448459
rule_number-9,16,1.059820745,1.622237604,9,0.607573748
rule_number-486,18,1.060060103,1.622338811,486,0.325987399
rule_number-442,20,1.059700167,1.622772715,442,0.263114512
rule_number-385,18,1.059938353,1.622809997,385,0.519426405
rule_number-443,20,1.059586224,1.623217405,443,0.241126046
rule_number-470,22,1.059835847,1.62360153,470,0.258394629
rule_number-441,18,1.059699903,1.6242005,441,0.22281228
rule_number-440,19,1.059704481,1.624419213,440,0.234740511
rule_number-353,18,1.060002991,1.624520732,353,0.597296238
rule_number-337,20,1.060100915,1.626107288,337,0.631225169
rule_number-469,18,1.059993696,1.627558227,469,0.264843762
rule_number-468,18,1.059906025,1.629312547,468,0.362966895
rule_number-496,17,1.060242876,1.631127722,496,0.245578319
rule_number-133,19,1.059625951,1.631689309,133,0.592030823
rule_number-378,18,1.059620915,1.632121233,378,0.350261927
rule_number-69,19,1.059700303,1.632236185,69,0.617580652
rule_number-379,20,1.059589375,1.632295938,379,0.249461651
rule_number-375,18,1.05964046,1.632697654,375,0.255730569
rule_number-484,17,1.060144756,1.632882847,484,0.25827691
rule_number-374,18,1.059644842,1.633220046,374,0.307499796
rule_number-325,21,1.05961085,1.63352147,325,0.618814111
rule_number-389,18,1.059756639,1.633661075,389,0.598546565
rule_number-377,18,1.059540648,1.63367364,377,0.339024842
rule_number-372,18,1.059631508,1.633903276,372,0.331327736
rule_number-373,18,1.059627803,1.634042323,373,0.277395815
rule_number-381,20,1.059585685,1.63504592,381,0.252818823
rule_number-438,18,1.059751623,1.635155366,438,0.277403921
rule_number-439,20,1.059739387,1.635162851,439,0.279240578
rule_number-261,18,1.059600927,1.635368244,261,0.561525106
rule_number-437,18,1.05974227,1.637030148,437,0.279033095
rule_number-436,17,1.059816896,1.63727515,436,0.278835177
rule_number-376,19,1.059634467,1.637383358,376,0.337872028
rule_number-237,20,1.059679613,1.637762812,237,0.247390211
rule_number-380,19,1.059593657,1.638191487,380,0.372702897
rule_number-197,30,1.059618032,1.638244209,197,0.621926188
rule_number-371,17,1.059671245,1.638791429,371,0.25199765
rule_number-291,19,1.059695082,1.638958602,291,0.531759381
rule_number-483,17,1.059989723,1.638998111,483,0.28609246
rule_number-239,19,1.05976711,1.639554077,239,0.26944527
rule_number-238,18,1.059714775,1.639808552,238,0.25351271
rule_number-225,17,1.060237064,1.640074899,225,0.6140697
rule_number-382,18,1.05963028,1.640140761,382,0.296840489
rule_number-370,17,1.059697,1.640260438,370,0.254900217
rule_number-35,20,1.059744021,1.640573945,35,0.513380647
rule_number-131,19,1.059992759,1.640655546,131,0.483487457
rule_number-251,17,1.059883507,1.641235768,251,0.281050384
rule_number-235,18,1.059731578,1.641660843,235,0.249905378
rule_number-163,18,1.059622248,1.641807181,163,0.545203626
rule_number-434,18,1.059868587,1.642005011,434,0.285461009
rule_number-275,19,1.059665121,1.642245185,275,0.585227311
rule_number-221,20,1.059682569,1.642721053,221,0.34448263
rule_number-453,20,1.059686387,1.643110179,453,0.625108898
rule_number-435,17,1.059691868,1.64314453,435,0.283503443
rule_number-236,20,1.059651969,1.643478847,236,0.277981848
rule_number-245,18,1.059796308,1.643594536,245,0.268573433
rule_number-369,23,1.059726773,1.64395125,369,0.324728161
rule_number-247,18,1.05981323,1.644032735,247,0.254312903
rule_number-67,20,1.059872896,1.644087599,67,0.493425965
rule_number-222,17,1.059602448,1.64413686,222,0.258095652
rule_number-220,17,1.059738764,1.644168329,220,0.275526226
rule_number-323,17,1.059950925,1.644234276,323,0.510981143
rule_number-366,18,1.059654771,1.644641822,366,0.323900342
rule_number-37,17,1.05972389,1.644846345,37,0.645175219
rule_number-219,20,1.059658336,1.645031691,219,0.362295836
rule_number-365,18,1.059571555,1.645219776,365,0.407295465
rule_number-367,26,1.059716022,1.645570118,367,0.319653839
rule_number-364,20,1.0596801,1.645598494,364,0.364271283
rule_number-147,17,1.059719709,1.645812424,147,0.604738712
rule_number-234,20,1.059778537,1.646059559,234,0.286971122
rule_number-243,18,1.05978267,1.646215031,243,0.255221665
rule_number-233,26,1.059672798,1.64630281,233,0.312346578
rule_number-368,18,1.059778137,1.646407311,368,0.334543526
rule_number-419,17,1.059763874,1.646470455,419,0.561237514
rule_number-218,18,1.059763301,1.646609609,218,0.276153296
rule_number-249,18,1.059657933,1.647192761,249,0.264536649
rule_number-403,20,1.059782206,1.6473371,403,0.606630027
rule_number-195,28,1.059733215,1.647357657,195,0.521342278
rule_number-433,18,1.059886149,1.647394549,433,0.272603959
rule_number-467,17,1.060261755,1.647713849,467,0.376827985
rule_number-387,18,1.059617991,1.648033487,387,0.493548721
rule_number-246,20,1.059723927,1.648045041,246,0.285926759
rule_number-217,17,1.059678253,1.648220983,217,0.287522733
rule_number-216,19,1.059729994,1.649441507,216,0.289303273
rule_number-362,17,1.059693043,1.65021865,362,0.369807929
rule_number-363,19,1.059729162,1.650708216,363,0.343511492
rule_number-451,20,1.05992283,1.650801516,451,0.540818572
rule_number-242,18,1.059813052,1.650902922,242,0.278565854
rule_number-209,18,1.060365828,1.65106663,209,0.65119338
rule_number-231,18,1.059703089,1.651179062,231,0.265486747
rule_number-99,20,1.059709925,1.651407412,99,0.577586949
rule_number-241,17,1.059878487,1.65172336,241,0.264757514
rule_number-360,20,1.059670201,1.65220667,360,0.353654981
rule_number-244,18,1.059854109,1.652331652,244,0.30775103
