Name,Runtime,avg_mutual_information,entropy,rule_number,loss
rule_number-512,13,1.059535213,1.241365164,512,0.693147242
rule_number-256,13,1.059553802,1.242359098,256,0.693147242
rule_number-768,14,1.059586622,1.243570904,768,0.693147242
rule_number-128,14,1.059586905,1.246198825,128,0.693147242
rule_number-640,14,1.059593051,1.246222068,640,0.693147242
rule_number-384,14,1.059635286,1.247959511,384,0.693147242
rule_number-64,13,1.059607307,1.256137671,64,0.693147242
rule_number-576,13,1.059657643,1.256458107,576,0.693147242
rule_number-832,14,1.059751176,1.257999023,832,0.693147242
rule_number-320,14,1.059707894,1.259358399,320,0.693147242
rule_number-32,13,1.059642983,1.266255844,32,0.693147242
rule_number-192,14,1.059742265,1.266743265,192,0.693147242
rule_number-544,14,1.059615661,1.268719972,544,0.693147242
rule_number-704,14,1.059843533,1.270363959,704,0.693147242
rule_number-288,14,1.059637694,1.272704108,288,0.693147242
rule_number-800,13,1.059704613,1.273161941,800,0.693147242
rule_number-528,14,1.059685309,1.27717913,528,0.693147242
rule_number-16,13,1.059600225,1.277841698,16,0.693147242
rule_number-160,13,1.059800562,1.280560651,160,0.693147242
rule_number-448,14,1.059834557,1.280928006,448,0.693147242
rule_number-672,14,1.059748976,1.281464319,672,0.693147242
rule_number-784,16,1.059674805,1.285281284,784,0.693147242
rule_number-416,14,1.0597304,1.287805802,416,0.693147242
rule_number-8,16,1.059739609,1.289035816,8,0.693147242
rule_number-520,13,1.059904785,1.293162789,520,0.693147242
rule_number-272,16,1.060780627,1.294015092,272,0.693147242
rule_number-776,16,1.059859673,1.298773987,776,0.693147242
rule_number-144,14,1.059647598,1.299305713,144,0.693147242
rule_number-656,14,1.059841662,1.299498736,656,0.693147242
rule_number-400,26,1.059880764,1.300390366,400,0.693147242
rule_number-264,15,1.061665848,1.304144846,264,0.693147242
rule_number-96,15,1.06002283,1.311520459,96,0.693147242
rule_number-608,14,1.06011685,1.315176587,608,0.693147242
rule_number-648,14,1.05991341,1.32438617,648,0.693147242
rule_number-136,15,1.060782266,1.326607607,136,0.693147242
rule_number-392,14,1.059990196,1.336203902,392,0.693147242
rule_number-864,16,1.060248179,1.339829838,864,0.693147242
rule_number-80,14,1.059944906,1.341755348,80,0.693147242
rule_number-352,13,1.06021183,1.344270238,352,0.693147242
rule_number-224,16,1.060213648,1.351758013,224,0.693147242
rule_number-336,18,1.060048148,1.352073525,336,0.693147242
rule_number-848,16,1.060172025,1.352969718,848,0.693147242
rule_number-592,16,1.059994563,1.356435517,592,0.693147242
rule_number-72,16,1.060363467,1.381759121,72,0.693147242
rule_number-48,15,1.060056228,1.384728714,48,0.693147242
rule_number-584,16,1.060089002,1.387251457,584,0.693147242
rule_number-560,16,1.059882898,1.392078062,560,0.693147242
rule_number-840,22,1.060374418,1.399912803,840,0.693147242
rule_number-208,13,1.061027253,1.40342524,208,0.693147242
rule_number-328,15,1.060266552,1.405222557,328,0.693147242
rule_number-720,17,1.061109766,1.425523674,720,0.693147242
rule_number-736,16,1.062737252,1.437596778,736,0.693147242
rule_number-712,18,1.06020594,1.437670754,712,0.693147242
rule_number-200,18,1.06103184,1.440322917,200,0.693147242
rule_number-456,20,1.060737445,1.445042109,456,0.693147242
rule_number-304,16,1.060522996,1.452449644,304,0.693147242
rule_number-816,18,1.061358793,1.487003255,816,0.693147242
rule_number-480,18,1.06381279,1.496575736,480,0.693147242
rule_number-112,19,1.061872276,1.503615315,112,0.693147242
rule_number-464,18,1.062827694,1.515339798,464,0.693147242
rule_number-2,18,1.059527688,1.530289765,2,0.693147242
rule_number-514,18,1.059620341,1.536095808,514,0.693147242
rule_number-258,17,1.059627096,1.55055533,258,0.693147242
rule_number-770,17,1.059747071,1.558782409,770,0.693147242
rule_number-516,16,1.059575761,1.566098771,516,0.693147242
rule_number-4,22,1.059667712,1.566605653,4,0.693147242
rule_number-642,17,1.059534012,1.569840427,642,0.693147242
rule_number-386,18,1.059602957,1.571045656,386,0.693147242
rule_number-130,16,1.059584688,1.572531705,130,0.693147242
rule_number-260,18,1.059670246,1.573587963,260,0.693147242
rule_number-772,16,1.059661707,1.575529842,772,0.693147242
rule_number-66,16,1.059633519,1.583010133,66,0.693147242
rule_number-578,20,1.05965322,1.583012464,578,0.693147242
rule_number-322,18,1.059610937,1.584073389,322,0.693147242
rule_number-834,16,1.059772506,1.584621214,834,0.693147242
rule_number-194,19,1.0596099,1.584875812,194,0.693147242
rule_number-706,18,1.059591057,1.587112992,706,0.693147242
rule_number-644,17,1.059568756,1.587698872,644,0.693147242
rule_number-450,16,1.059613972,1.588525455,450,0.693147242
rule_number-132,17,1.059586975,1.590987128,132,0.693147242
rule_number-388,18,1.059662024,1.592168815,388,0.693147242
rule_number-546,16,1.059689507,1.596894202,546,0.693147242
rule_number-290,14,1.059648425,1.597483593,290,0.693147242
rule_number-34,18,1.059571785,1.597514704,34,0.693147242
rule_number-802,16,1.059597324,1.598907064,802,0.693147242
rule_number-40,18,1.061252934,1.602840956,40,0.693147242
