Name,Runtime,avg_mutual_information,entropy,rule_number,loss
rule_number-767,18,1.059584041,1.526513791,767,0.144497111
rule_number-766,16,1.059623579,1.540560518,766,0.152873561
rule_number-765,20,1.059529158,1.551613947,765,0.199218765
rule_number-764,18,1.059621467,1.560142987,764,0.161548927
rule_number-761,18,1.059519188,1.569947274,761,0.169917762
rule_number-762,16,1.059588796,1.5707079,762,0.192205012
rule_number-763,18,1.059552134,1.572012421,763,0.218364343
rule_number-760,19,1.059666184,1.572022372,760,0.173814639
rule_number-759,18,1.059604425,1.582403486,759,0.390394658
rule_number-257,17,1.063144873,1.58286766,257,0.523860395
rule_number-509,18,1.063759719,1.583251495,509,0.181030616
rule_number-757,17,1.059546173,1.583872984,757,0.220625311
rule_number-758,19,1.059568941,1.584334439,758,0.213367507
rule_number-756,18,1.059549094,1.585600907,756,0.199646458
rule_number-755,18,1.059537165,1.585751484,755,0.223283917
rule_number-754,20,1.059617146,1.586250152,754,0.188745633
rule_number-753,20,1.059621399,1.588812717,753,0.212795809
rule_number-752,18,1.059710465,1.591649157,752,0.189401448
rule_number-479,20,1.05963894,1.59370136,479,0.223340482
rule_number-273,18,1.059876298,1.593718831,273,0.59465009
rule_number-17,18,1.059676835,1.593873337,17,0.592570722
rule_number-33,17,1.059875854,1.594099968,33,0.556296766
rule_number-65,20,1.060633877,1.594206611,65,0.539615095
rule_number-495,18,1.059884216,1.594480435,495,0.255053073
rule_number-477,18,1.059712034,1.59625863,477,0.257883102
rule_number-529,18,1.059787427,1.596338275,529,0.595727742
rule_number-478,18,1.059782239,1.59651044,478,0.20495744
rule_number-503,20,1.060522913,1.597352939,503,0.30303368
rule_number-751,18,1.059699129,1.597629125,751,0.219433606
rule_number-748,17,1.059649715,1.59803259,748,0.23019515
rule_number-749,19,1.059750617,1.598061244,749,0.233538732
rule_number-785,18,1.059743554,1.598390937,785,0.601397276
rule_number-750,18,1.059682405,1.598492191,750,0.225098357
rule_number-476,18,1.059927909,1.599670871,476,0.230321229
rule_number-145,15,1.059769168,1.599911197,145,0.605905831
rule_number-475,25,1.059798075,1.601621782,475,0.24041529
rule_number-289,18,1.059936826,1.602382981,289,0.556760311
rule_number-747,18,1.059696436,1.602825184,747,0.229085147
rule_number-493,17,1.059844147,1.603265869,493,0.282829285
rule_number-746,20,1.059693541,1.604380258,746,0.212120906
rule_number-507,23,1.06021136,1.604544385,507,0.258384556
rule_number-745,20,1.059702754,1.60476711,745,0.210152194
rule_number-657,18,1.059954952,1.605260508,657,0.611029923
rule_number-401,22,1.059769792,1.60551771,401,0.610993385
rule_number-494,18,1.059821238,1.605679621,494,0.306726575
rule_number-744,19,1.059692499,1.605849411,744,0.215914965
rule_number-492,20,1.059861828,1.606003735,492,0.263328552
rule_number-161,16,1.059815679,1.606289349,161,0.570327401
rule_number-474,18,1.059724478,1.606375858,474,0.215095207
rule_number-473,21,1.059874478,1.606433952,473,0.419142127
rule_number-545,20,1.060003769,1.606441824,545,0.561053276
rule_number-491,16,1.059893436,1.607370014,491,0.288445115
rule_number-129,18,1.059882113,1.607573582,129,0.524033189
rule_number-833,19,1.060182231,1.608966035,833,0.556371152
rule_number-417,20,1.060020074,1.609104321,417,0.575456977
rule_number-489,18,1.059892149,1.609348971,489,0.295646578
rule_number-801,20,1.059786663,1.609387473,801,0.569202542
rule_number-472,20,1.059947028,1.60974854,472,0.242253438
rule_number-490,18,1.059940676,1.610170828,490,0.246092081
rule_number-639,20,1.059365141,1.611298104,639,0.346920937
rule_number-673,17,1.059970612,1.61150357,673,0.577547371
rule_number-500,17,1.060060118,1.611829065,500,0.286799192
rule_number-502,18,1.059939922,1.612536249,502,0.261640042
rule_number-577,21,1.060074645,1.613423266,577,0.547868848
rule_number-321,18,1.059972236,1.613790724,321,0.536406517
rule_number-743,20,1.059725475,1.613841633,743,0.233115315
rule_number-487,18,1.060057189,1.614393668,487,0.271612704
rule_number-501,19,1.060104646,1.614960519,501,0.30204463
rule_number-97,24,1.059966058,1.616165564,97,0.585186183
rule_number-705,17,1.0601619,1.618339926,705,0.56657654
rule_number-742,19,1.059763397,1.61836434,742,0.220754027
rule_number-449,20,1.059957144,1.61843647,449,0.562045395
rule_number-499,20,1.060082711,1.618895035,499,0.279937744
rule_number-265,18,1.059649885,1.618924357,265,0.617049634
rule_number-498,17,1.060284015,1.619545689,498,0.229929373
rule_number-521,17,1.059542175,1.619643192,521,0.61535418
rule_number-446,20,1.059641711,1.619817622,446,0.248672947
rule_number-777,18,1.059654161,1.619908072,777,0.617169797
rule_number-445,18,1.059722943,1.619910156,445,0.217274502
rule_number-497,18,1.060073385,1.619931566,497,0.237434819
rule_number-9,18,1.059638198,1.620072808,9,0.608458877
rule_number-488,17,1.060119068,1.620266706,488,0.255040258
rule_number-353,18,1.060078155,1.620524848,353,0.593756914
rule_number-638,19,1.059439952,1.62056388,638,0.213166311
rule_number-471,23,1.059820834,1.620565939,471,0.260927826
rule_number-193,16,1.059927592,1.620728404,193,0.544767499
rule_number-444,18,1.059594384,1.620775695,444,0.252155453
rule_number-447,18,1.059611274,1.621395641,447,0.227343082
rule_number-81,19,1.059787462,1.621686431,81,0.627337396
rule_number-385,18,1.059825895,1.622727807,385,0.522485077
rule_number-442,20,1.059683427,1.623059633,442,0.240348548
rule_number-609,17,1.060067827,1.623391124,609,0.594259858
rule_number-441,19,1.059605635,1.62387547,441,0.231728107
rule_number-443,19,1.059662464,1.624134462,443,0.250636816
rule_number-593,18,1.059863401,1.624299769,593,0.628326476
rule_number-470,18,1.059880918,1.62439612,470,0.286518365
rule_number-505,26,1.059921184,1.624423211,505,0.353316367
rule_number-440,17,1.059788004,1.625187658,440,0.218940258
rule_number-468,21,1.059956146,1.625276032,468,0.281248391
rule_number-486,20,1.0599938,1.625468235,486,0.26176396
rule_number-469,18,1.060048631,1.626079586,469,0.281254977
rule_number-485,18,1.059930241,1.626511871,485,0.27445659
rule_number-337,26,1.059918534,1.62712391,337,0.632155478
rule_number-740,21,1.05989601,1.628271204,740,0.251289189
rule_number-734,23,1.059666137,1.628294587,734,0.302152276
rule_number-735,18,1.059617083,1.628389857,735,0.28583169
rule_number-506,19,1.059965929,1.628470194,506,0.300022393
rule_number-849,16,1.059984684,1.629065387,849,0.63362968
rule_number-733,20,1.059717548,1.62964189,733,0.302048594
rule_number-732,18,1.05970419,1.62972354,732,0.310549796
rule_number-741,18,1.059951534,1.629892447,741,0.244417742
rule_number-641,18,1.059895316,1.630127162,641,0.540844083
rule_number-865,17,1.060206234,1.631125128,865,0.605548382
rule_number-379,21,1.059665832,1.631311145,379,0.294693768
rule_number-133,20,1.059600818,1.631869981,133,0.592997968
rule_number-637,20,1.059493708,1.631900199,637,0.228809655
rule_number-504,18,1.059846879,1.632049121,504,0.248040453
rule_number-636,20,1.059458675,1.632073493,636,0.227327183
rule_number-378,18,1.059586767,1.632314096,378,0.34712708
rule_number-69,18,1.059630563,1.632429775,69,0.618343771
rule_number-375,18,1.059647784,1.632514518,375,0.325484991
rule_number-703,18,1.059620563,1.632582582,703,0.321306139
rule_number-581,16,1.059638491,1.632715116,581,0.619120359
